features,c_importance,category,granularity
Mmax_HVOL,2.135,complexity,method
Msum_MISM,2.132,complexity,method
Cmax_DIT,2.067,inheritance,class
Cmax_TNS,2.009,size,class
Cstd_NOP,1.99,inheritance,class
Csum_TNG,1.959,size,class
Cmax_NOD,1.954,inheritance,class
Mmed_HPL,1.921,complexity,method
Mstd_MISM,1.919,complexity,method
Csum_LLOC,1.907,size,class
Csum_TNLPM,1.862,size,class
Msum_MI,1.862,complexity,method
Cstd_LOC,1.843,size,class
Cstd_NPA,1.7240000000000002,size,class
Fsum_LLOC,1.723,size,file
Mmax_HDIF,1.7160000000000002,complexity,method
Cstd_PDA,1.702,documentation,class
Cmax_NOS,1.6740000000000002,size,class
Csum_TNS,1.64,size,class
Mmed_HNDB,1.608,complexity,method
Msum_MISEI,1.606,complexity,method
Csum_NG,1.6050000000000002,size,class
Fmed_PUA,1.598,documentation,file
Msum_NL,1.5750000000000002,complexity,method
Mstd_NOI,1.549,coupling,method
Mmin_HEFF,1.486,complexity,method
Csum_TNPA,1.4859999999999998,size,class
Cstd_TNG,1.471,size,class
Cstd_TNLM,1.4640000000000002,size,class
Mmed_HDIF,1.455,complexity,method
Cmax_TNLPA,1.4460000000000002,size,class
Cmax_PDA,1.445,documentation,class
Csum_NPA,1.4419999999999995,size,class
Cstd_NLPA,1.433,size,class
Cmax_CD,1.398,documentation,class
Cmax_LLOC,1.3930000000000002,size,class
Cmed_NG,1.389,size,class
Csum_LOC,1.387,size,class
Mmed_NII,1.384,coupling,method
Msum_MIMS,1.349,complexity,method
Mstd_HDIF,1.32,complexity,method
Cstd_NOA,1.296,inheritance,class
Cstd_TLOC,1.2759999999999998,size,class
Mstd_CLOC,1.25,documentation,method
Cstd_NA,1.249,size,class
Cmax_TNM,1.214,size,class
Cstd_NLA,1.202,size,class
Cmin_LCOM5,1.202,cohesion,class
Cmax_NM,1.187,size,class
Mmed_MI,1.182,complexity,method
Cstd_NOD,1.172,inheritance,class
Cmin_NOS,1.1679999999999997,size,class
Mmed_HTRP,1.136,complexity,method
Msum_McCC,1.121,complexity,method
Csum_NL,1.119,complexity,class
Mstd_TNOS,1.115,size,method
Fstd_McCC,1.1110000000000002,complexity,file
Cmed_TNLG,1.11,size,class
Csum_TNLS,1.052,size,class
Mstd_DLOC,1.049,documentation,method
Mmed_MIMS,1.048,complexity,method
Cmax_TLOC,1.042,size,class
Msum_NII,1.0419999999999998,coupling,method
Mmax_TNOS,1.031,size,method
Mstd_MI,1.009,complexity,method
Fmax_McCC,1.006,complexity,file
Mmin_HVOL,1.0,complexity,method
Cmed_CBO,0.987,coupling,class
Fmed_McCC,0.96,complexity,file
Mstd_MISEI,0.954,complexity,method
Mmed_MISM,0.942,complexity,method
Csum_NOD,0.934,inheritance,class
Mmin_McCC,0.932,complexity,method
Cstd_TNPA,0.931,size,class
Csum_TNLM,0.889,size,class
Mmin_HTRP,0.887,complexity,method
Cmin_NLPM,0.863,size,class
Fsum_PDA,0.859,documentation,file
Csum_PDA,0.8560000000000001,documentation,class
Cmax_TNLPM,0.852,size,class
Cmin_TLLOC,0.8490000000000001,size,class
Cmed_NII,0.849,coupling,class
Cmax_NLM,0.8480000000000001,size,class
Cstd_TNLPA,0.848,size,class
Mmax_MISEI,0.8320000000000001,complexity,method
Cmax_NII,0.8,coupling,class
Fmin_PDA,0.797,documentation,file
Mmed_NOS,0.789,size,method
Msum_HCPL,0.779,complexity,method
Cstd_TNS,0.77,size,class
Cmax_NLG,0.769,size,class
Cstd_NLE,0.765,complexity,class
Csum_NLM,0.746,size,class
Mmax_MI,0.744,complexity,method
Cstd_NS,0.726,size,class
Cmin_CLOC,0.717,documentation,class
Cmin_TCD,0.717,documentation,class
Cmed_TNLA,0.7080000000000001,size,class
Cmax_DLOC,0.697,documentation,class
Mstd_CD,0.6960000000000001,documentation,method
Mmed_TNOS,0.685,size,method
Cstd_NLM,0.683,size,class
Cmed_NLPA,0.683,size,class
Cmax_NOA,0.6799999999999999,inheritance,class
Cstd_PUA,0.665,documentation,class
Cstd_DLOC,0.662,documentation,class
Fmin_PUA,0.659,documentation,file
Mmax_HPV,0.647,complexity,method
Msum_CLOC,0.629,documentation,method
Cstd_NLPM,0.622,size,class
Cmin_NM,0.6020000000000001,size,class
Msum_HVOL,0.5980000000000001,complexity,method
Mmin_HCPL,0.591,complexity,method
Mmax_HNDB,0.586,complexity,method
Cmin_NPM,0.569,size,class
Cstd_LLOC,0.569,size,class
Mmax_HCPL,0.5660000000000001,complexity,method
Mmin_MISEI,0.5650000000000001,complexity,method
Fmax_LOC,0.5609999999999999,size,file
Cmed_NLA,0.558,size,class
Cmed_AD,0.554,documentation,class
Cstd_TNLS,0.546,size,class
Cmed_TNA,0.543,size,class
Mmed_MISEI,0.534,complexity,method
Cmed_TNG,0.532,size,class
Cmax_NG,0.524,size,class
Cmin_TCLOC,0.513,documentation,class
Cmin_CD,0.513,documentation,class
Csum_NS,0.508,size,class
Cmax_WMC,0.505,complexity,class
Cmed_TNPM,0.494,size,class
Cmed_DLOC,0.488,documentation,class
Cmed_NM,0.48,size,class
Cmin_LOC,0.468,size,class
Cmed_TLOC,0.467,size,class
Cmin_TNM,0.462,size,class
Fstd_PUA,0.4599999999999999,documentation,file
Cmed_TNOS,0.453,size,class
Cmed_PDA,0.445,documentation,class
Csum_TCLOC,0.441,documentation,class
Mstd_HVOL,0.435,complexity,method
Cmin_LLOC,0.428,size,class
Cmax_TCD,0.426,documentation,class
Fmed_PDA,0.42,documentation,file
Cmed_TNLPM,0.411,size,class
Mstd_HNDB,0.409,complexity,method
Cmin_TNPM,0.408,size,class
Mmin_HNDB,0.407,complexity,method
Cmed_LLOC,0.406,size,class
Cstd_CD,0.405,documentation,class
Cmed_NLS,0.404,size,class
Cmin_TLOC,0.398,size,class
Msum_HEFF,0.395,complexity,method
Msum_CD,0.393,documentation,method
Cmed_NS,0.38,size,class
Cmed_TNS,0.38,size,class
Cmax_TNLG,0.374,size,class
Cmed_TNLM,0.374,size,class
Msum_HDIF,0.373,complexity,method
Cmed_WMC,0.371,complexity,class
Cmed_NLPM,0.371,size,class
Cmin_TNA,0.365,size,class
Msum_HPV,0.364,complexity,method
Mstd_TCLOC,0.358,documentation,method
Mmax_DLOC,0.355,documentation,method
Msum_TLLOC,0.3389999999999999,size,method
Cstd_NLG,0.337,size,class
Mmed_NOI,0.337,coupling,method
Cmed_TNLPA,0.337,size,class
Cmax_TLLOC,0.334,size,class
Cmed_CD,0.334,documentation,class
Mstd_NLE,0.332,complexity,method
Cstd_NG,0.329,size,class
Cstd_AD,0.328,documentation,class
Csum_TNA,0.326,size,class
Mstd_MIMS,0.326,complexity,method
Mmax_HEFF,0.304,complexity,method
Mmax_TCD,0.294,documentation,method
Cmed_PUA,0.294,documentation,class
Mmed_HCPL,0.28,complexity,method
Mmax_TLOC,0.279,size,method
Cstd_NLS,0.276,size,class
Mmax_HPL,0.274,complexity,method
Mmin_TLLOC,0.27,size,method
Cmed_TNM,0.267,size,class
Cstd_TLLOC,0.265,size,class
Fmax_LLOC,0.262,size,file
Cmed_TCLOC,0.252,documentation,class
Cmax_TNOS,0.249,size,class
Cmax_CLOC,0.245,documentation,class
Cmed_LOC,0.235,size,class
Mstd_LOC,0.229,size,method
Cmax_NPM,0.228,size,class
Cstd_RFC,0.226,coupling,class
Cstd_TNLA,0.225,size,class
Mstd_McCC,0.225,complexity,method
Cmin_RFC,0.225,coupling,class
Cstd_TNA,0.224,size,class
Cmin_PDA,0.2239999999999999,documentation,class
Msum_TCLOC,0.222,documentation,method
Cmed_RFC,0.22,coupling,class
Cmed_NOI,0.22,coupling,class
Cmin_TNOS,0.215,size,class
Mstd_NOS,0.209,size,method
Cmed_LCOM5,0.209,cohesion,class
Cmin_AD,0.204,documentation,class
Cmin_WMC,0.204,complexity,class
Msum_DLOC,0.203,documentation,method
Mmed_HPV,0.202,complexity,method
Fsum_McCC,0.192,complexity,file
Msum_TCD,0.18,documentation,method
Mstd_HPV,0.177,complexity,method
Cmed_NL,0.1709999999999999,complexity,class
Mmed_TLOC,0.123,size,method
Cmin_NLA,0.081,size,class
Cmin_NA,0.081,size,class
Mmin_LLOC,0.081,size,method
Csum_NA,0.071,size,class
Cmed_TLLOC,0.07,size,class
Fmin_McCC,0.059,complexity,file
Cmed_NLE,0.021,complexity,class
Cmed_NOS,0.021,size,class
Mmed_DLOC,0.02,documentation,method
Cmin_TNLM,0.02,size,class
Mmin_NOS,0.02,size,method
Mmin_MIMS,0.02,complexity,method
Mmax_MISM,0.005,complexity,method
Mstd_TLOC,0.005,size,method
